org.apache.cassandra.cql3.ColumnCondition$CollectionInBound.appliesTo,664,ForEach
org.apache.cassandra.cql3.ColumnCondition$CollectionInBound.appliesTo,674,ForEach
org.apache.cassandra.cql3.ColumnCondition$ElementAccessInBound.appliesTo,378,ForEach
org.apache.cassandra.cql3.ColumnCondition$ElementAccessInBound.appliesTo,391,ForEach
org.apache.cassandra.cql3.ColumnCondition$ElementAccessInBound.appliesTo,412,ForEach
org.apache.cassandra.cql3.ColumnCondition$ElementAccessInBound.appliesTo,425,ForEach
org.apache.cassandra.cql3.ColumnCondition$Raw.prepare,759,ForEach
org.apache.cassandra.cql3.ColumnCondition$Raw.prepare,793,ForEach
org.apache.cassandra.cql3.ColumnCondition$SimpleInBound.appliesTo,262,ForEach
org.apache.cassandra.cql3.ColumnCondition.addFunctionsTo,99,ForEach
org.apache.cassandra.cql3.ColumnCondition.collectMarkerSpecification,117,ForEach
org.apache.cassandra.cql3.ColumnConditionTest.listAppliesTo,171,For
org.apache.cassandra.cql3.ColumnConditionTest.map,418,For
org.apache.cassandra.cql3.ColumnConditionTest.mapAppliesTo,434,ForEach
org.apache.cassandra.cql3.ColumnConditionTest.setAppliesTo,302,For
org.apache.cassandra.cql3.ColumnIdentifier$Literal.prepare,276,ForEach
org.apache.cassandra.cql3.ColumnIdentifier.prefixComparison,101,While
org.apache.cassandra.cql3.ColumnIdentifierTest.testComparisonMethod,42,For
org.apache.cassandra.cql3.ColumnSpecification.allInSameTable,69,While
org.apache.cassandra.cql3.CorruptionTest$1.run,120,For
org.apache.cassandra.cql3.CorruptionTest.runCorruptionTest,113,For
org.apache.cassandra.cql3.CorruptionTest.setup,93,For
org.apache.cassandra.cql3.CqlLexer.displayRecognitionError,233,For
org.apache.cassandra.cql3.CqlLexer.mCOMMENT,6008,While
org.apache.cassandra.cql3.CqlLexer.mEXPONENT,5452,While
org.apache.cassandra.cql3.CqlLexer.mFLOAT,5605,While
org.apache.cassandra.cql3.CqlLexer.mHEXNUMBER,5786,While
org.apache.cassandra.cql3.CqlLexer.mIDENT,5735,While
org.apache.cassandra.cql3.CqlLexer.mINTEGER,5518,While
org.apache.cassandra.cql3.CqlLexer.mMULTILINE_COMMENT,6063,While
org.apache.cassandra.cql3.CqlLexer.mQUOTED_NAME,5289,While
org.apache.cassandra.cql3.CqlLexer.mSTRING_LITERAL,5155,While
